T_params, C_nondim_curve, K_nondim_curve
-4.545454545454545858e-01,1.805316462830391377e-01,8.448963658578225733e-01
-4.318181818181818232e-01,1.967996503302243960e-01,8.305414355226835577e-01
-4.090909090909091717e-01,2.158895513809808986e-01,8.146446376273998036e-01
-3.863636363636363535e-01,2.384942210328053203e-01,7.969725511537794072e-01
-3.636363636363636465e-01,2.655330878777995562e-01,7.772429651524054295e-01
-3.409090909090909949e-01,2.982472368582116951e-01,7.551115361599042286e-01
-3.181818181818181768e-01,3.383445697572039501e-01,7.301538229324872065e-01
-2.954545454545455252e-01,3.882275812014023275e-01,7.018407165007453097e-01
-2.727272727272728181e-01,4.513622160724388155e-01,6.695042490980951388e-01
-2.500000000000000000e-01,5.328973107076111493e-01,6.322890812770108893e-01
-2.272727272727273484e-01,6.407499373428330314e-01,5.890821449605916360e-01
-2.045454545454545026e-01,7.876049631456557565e-01,5.384080387045053762e-01
-1.818181818181818232e-01,9.948281853506868444e-01,4.782690115961634181e-01
-1.590909090909091717e-01,5.790800444488325427e-02,4.356602131077948470e-01
-1.363636363636363258e-01,5.785118507675846011e-02,4.363831405049800605e-01
-1.136363636363636742e-01,5.779917054375154073e-02,4.371038048958396649e-01
-9.090909090909100876e-02,5.775196080686662709e-02,4.378222069478989731e-01
-6.818181818181816289e-02,5.770955579129459501e-02,4.385383473224508388e-01
-4.545454545454550438e-02,5.767195538642272412e-02,4.392522266746179405e-01
-2.272727272727283893e-02,5.763915944584411394e-02,4.399638456534138986e-01
0.000000000000000000e+00,5.761116778736701666e-02,4.406732049017991204e-01
2.272727272727266198e-02,5.761370368839324047e-02,4.413803050567439157e-01
4.545454545454532397e-02,5.761618568982222743e-02,4.420851467492823428e-01
6.818181818181816289e-02,5.761861378605090400e-02,4.427877306045704398e-01
9.090909090909082835e-02,5.762098797121795873e-02,4.434880572419409028e-01
1.136363636363636742e-01,5.762330823920370354e-02,4.441861272749593192e-01
1.363636363636363258e-01,5.762557458363007368e-02,4.448819413114760146e-01
1.590909090909090051e-01,5.762778699786053754e-02,4.455754999536804539e-01
1.818181818181818232e-01,5.762994547500012443e-02,4.462668037981532554e-01
2.045454545454545026e-01,5.763205000789534127e-02,4.469558534359164836e-01
2.272727272727271541e-01,5.763410058913404771e-02,4.476426494524862187e-01
2.500000000000000000e-01,5.763609721104546307e-02,4.483271924279196852e-01
2.727272727272726516e-01,5.763803986570018023e-02,4.490094829368662110e-01
2.954545454545453032e-01,5.763992854490995049e-02,4.496895215486152453e-01
